"playerid","ip","name","projyear","percentile","war"
"111793089",89.4368,Yonny Chirinos,2023.0,pct50,0.295335363816719
"111793089",91.3594810379242,Yonny Chirinos,2023.0,pct80,0.844168239070213
"111793113",25.6968063872256,Walker Lockett,2023.0,pct20,-0.30586685585172
"111793113",26.7855983772819,Walker Lockett,2023.0,pct50,0.0226099643665406
"111793113",27.8399201596806,Walker Lockett,2023.0,pct80,0.319932392301559
"111797085",20.5012,Ariel Jurado,2023.0,pct20,-0.281494378655267
"111797085",21.4773092369478,Ariel Jurado,2023.0,pct50,0.00329967893666075
"111797085",22.2926147704591,Ariel Jurado,2023.0,pct80,0.258048961072694
"111805487",38.9145418326693,Sixto Sanchez,2023.0,pct20,-0.203465683050347
"111805487",40.3473161033797,Sixto Sanchez,2023.0,pct50,0.173379541405144
"111805487",41.6336653386454,Sixto Sanchez,2023.0,pct80,0.539656643239608
"111806180",15.2710578842315,Ashe Russell,2023.0,pct20,-0.555862497289512
"111806180",16.6643564356436,Ashe Russell,2023.0,pct50,-0.274478413089032
"111806180",17.7417338709677,Ashe Russell,2023.0,pct80,-0.0120495658371487
"111806394",82.1125748502994,Mike Soroka,2023.0,pct20,-0.15451972929279
"111806394",84.045219123506,Mike Soroka,2023.0,pct50,0.401046971042619
"111806394",85.4258,Mike Soroka,2023.0,pct80,0.910907422643275
"111806539",20.8835341365462,Yadier Alvarez,2023.0,pct20,-0.366849715301653
"111806539",21.9892215568862,Yadier Alvarez,2023.0,pct50,-0.063751465322913
"111806539",22.8415169660679,Yadier Alvarez,2023.0,pct80,0.203829499065563
"111806919",13.8388,Nolan Martinez,2023.0,pct20,-0.297062751274585
"111806919",14.807,Nolan Martinez,2023.0,pct50,-0.0304428927436957
"111806919",15.517097415507,Nolan Martinez,2023.0,pct80,0.212359855231982
"111807193",26.3633802816901,Brandon Bailey,2023.0,pct20,-0.307116374512467
"111807193",27.5831349206349,Brandon Bailey,2023.0,pct50,0.0299342682331993
"111807193",28.5520958083832,Brandon Bailey,2023.0,pct80,0.334159591890995
"111807205",27.0062374245473,Edwar Colina,2023.0,pct20,-0.295195527151945
"111807205",28.2350100603622,Edwar Colina,2023.0,pct50,0.0326814843073055
"111807205",29.0129482071713,Edwar Colina,2023.0,pct80,0.331687424707542
"111807417",30.1226452905812,Stiward Aquino,2023.0,pct20,-0.701600358105407
"111807417",31.6635627530364,Stiward Aquino,2023.0,pct50,-0.322289676878322
"111807417",32.9484,Stiward Aquino,2023.0,pct80,0.0233701776425232
"111807642",13.0973947895792,Gerardo Bojorquez,2023.0,pct20,-0.557825072359486
