"ID","NAME","YEAR","LVL","PITCH_TYPE","LVA"
"111768168","Kikuchi, Yusei",2021,MLB,Slider,4.99314699793
"109502535","Lyles, Jordan",2021,MLB,Fastball,5.06186066270
"111797637","Barria, Jaime",2021,MLB,Fastball,5.04417647059
"111764418","Webb, Tyler",2021,MLB,Fastball,4.94595890411
"110846989","Davies, Zach",2021,MLB,Sinker,5.13445765230
"111799491","Hernandez, Darwinzon",2021,MLB,Slider,4.81222929936
"111796570","Newcomb, Sean",2021,MLB,Slider,5.04366279070
"111801373","Thompson, Ryan",2021,MLB,Sinker,5.01617346939
"111796204","Plutko, Adam",2021,MLB,Fastball,4.96915019763
"41987","Kershaw, Clayton",2021,MLB,Curveball,4.96354014599
"111797138","Soto, Gregory",2021,MLB,Slider,5.05272941176
"111499395","Marquez, German",2021,MLB,Curveball,5.00438532110
"111766796","Minter, A.J.",2021,MLB,Changeup,4.87905982906
"111797068","Alzolay, Adbert",2021,MLB,Sinker,5.01568400771
"3183","Bauer, Trevor",2021,MLB,Slider,4.89965079365
"111792441","Fried, Max",2021,MLB,Changeup,4.96527272727
"109502454","Odorizzi, Jake",2021,MLB,Slider,5.07587209302
"109502101","Perez, Martin",2021,MLB,Changeup,5.11146993318
"111815878","Pop, Zachary",2021,MLB,Slider,4.96963455150
"111794931","Reyes, Alex",2021,MLB,Fastball,4.89443037975
"110295934","Fulmer, Michael",2021,MLB,Changeup,4.95954545455
"111833249","Arihara, Kohei",2021,MLB,Fastball,4.99754901961
"111806992","May, Dustin",2021,MLB,Sinker,5.14013888889
"36950","Arrieta, Jake",2021,MLB,Slider,5.05591346154
"76119331","Strickland, Hunter",2021,MLB,Sinker,4.91803571429
"111818752","Jimenez, Ludwin",2022,Rk,Changeup,
"111825509","Parrish, Drew",2022,AAA,Fastball,4.94341959335
"111837583","Cuevas, Jonny",2022,A,Changeup,4.91325123153
"111816068","Askew, Keyshawn",2022,A,Sinker,4.88384816754
"111816578","Sanchez, Juan",2022,A+,Fastball,4.96044321330
"111811698","Jacques, Joe",2022,AAA,Changeup,4.93000000000
"111825878","Martich, Eurys",2022,Rk,Fastball,
"111798628","Burke, Brock",2022,MLB,Changeup,4.98293706294
"111836272","Reyes, Yokelvin",2022,Rk-,Fastball,
"111811664","Marconi, Brian",2022,AA,Fastball,4.86673427992
"111824782","Swain, Matthew",2022,A+,Slider,5.12135802469
"111796022","Littell, Zack",2022,MLB,Fastball,5.11404320988
"111806856","Dashwood, Jack",2022,AA,Fastball,4.98876126126
"111824709","Ueckert, Cayne",2022,AAA,Fastball,4.82631250000
"111841565","Bello, Juan",2022,Rk-,Changeup,
"111819418","Hintzen, J.T.",2022,AA,Slider,4.89533783784
"111816665","Cepeda, Luis",2022,Rk,Slider,
"111818122","Ruviera, Jose",2022,Rk-,Slider,
"111825518","Marquez, Franklin",2022,Rk,Fastball,
"110294536","Moran, Brian",2022,AAA,Fastball,5.03195431472
"111801263","Eshelman, Tom",2022,AAA,Fastball,5.11039473684
"111813753","Schoenle, Garrett",2022,A+,Changeup,4.82950617284
"111837569","Ohl, Pierson",2022,A,Fastball,5.10991935484
"111837159","Herrera, Wuillians",2022,Rk-,Fastball,
"111809401","Gordon, Colton",2022,Rk,Curveball,
"111811181","Dunshee, Parker",2022,AAA,Curveball,5.11539267016
"111793838","Smith, Caleb",2022,MLB,Slider,5.07256317690
"111813762","Workman, Logan",2022,A+,Cutter,4.97750000000
"111766838","Murphy, Patrick",2022,AAA,Curveball,4.96888086643
"111819614","Alcantara, Jose",2022,A+,Slider,4.84238095238
"111826223","Mlodzinski, Carmen",2022,AA,Fastball,5.08913242009
"111815881","Schlichtholz, Fred",2022,AA,Fastball,5.08552036199
"111826522","Seminaris, Adam",2022,AA,Fastball,5.27150000000
"111796971","Warren, Zach",2022,AAA,Slider,4.89882758621
"111837337","Broadway, Taylor",2022,AA,Curveball,4.97042328042
"111800924","Feyereisen, J.P.",2021,MLB,Fastball,4.97099601594
"53647","Quintana, Jose",2021,MLB,Changeup,5.02402234637
"111799133","Oviedo, Johan",2021,MLB,Slider,5.04992217899
"111813411","Mize, Casey",2021,MLB,Slider,5.02180722892
"111792673","Newberry, Jake",2021,MLB,Slider,5.23769230769
"111798271","Cimber, Adam",2021,MLB,Slider,5.23266055046
"2569","Duffy, Danny",2021,MLB,Changeup,4.84454545455
"111837314","Joyce, Jimmy",2022,A+,Fastball,4.99837485172
"111817911","Vines, Darius",2022,AA,Slider,5.05071225071
"111805117","Foley, Jason",2022,MLB,Sinker,5.15173333333
"111840402","Corro, Derek",2022,Rk-,Changeup,
"111829015","Kwidama, Jediah",2022,Rk-,Curveball,
"111766366","Fry, Jace",2022,AAA,Slider,4.79260000000
"111828797","Mora, Miguel",2022,Rk,Fastball,
"111836412","Hernandez, Bryan",2022,Rk-,Fastball,
"111837481","Binns, Malik",2022,Rk,Fastball,
"111842804","Brown, Cameron",2022,A,Sinker,5.01358381503
"111332788","Martin, Chris",2022,MLB,Fastball,5.18194346290
"111798418","Martin, Corbin",2022,AAA,Slider,5.04341463415
"111812061","Daniels, Brett",2022,AA,Fastball,4.81150627615
"110678198","Baldonado, Alberto",2022,AAA,Slider,4.94994923858
"41948","Lindblom, Josh",2022,AAA,Changeup,4.90867724868
"111825122","Schultz, Paxton",2022,AA,Fastball,5.04822252374
"109503886","Phelps, David",2022,MLB,Fastball,5.17169014085
"111811683","Cosgrove, Tom",2022,AAA,Slider,5.05041025641
"111816117","Nastrini, Nicholas",2022,A+,Curveball,5.05509090909
