"ID","NAME","LVL","YEAR","ORGS","G","GS","IP","ERA","WOBA","FIP","BABIP","LD_RATE","GB_RATE","FB_RATE","HR_FB","BB_RATE","SO_RATE","NITRORATE","SWM","CHASERATE","EV_70"
111821055,"Marcelino, Jean",A,2022,ARI,11,0,11.2,14.66,0.4791205479,9.214,0.342857,0.189189,0.594595,0.162162,0.0,0.306667,0.16,2.900,20.600,16.900,85.504226
111826279,"Martinez, Carlos",Rk,2022,LA,14,1,22.1,3.22,0.2958098901,2.444,0.292683,0.093023,0.395349,0.325581,0.1,0.10989,0.395604,7.000,40.200,27.500,81.64589120000001
111833668,"Rodriguez, Eward",Rk-,2022,TEX,11,2,26.0,2.42,0.327859633,1.737,0.346154,0.273585,0.433962,0.198113,0.0,0.073394,0.211009,3.800,33.400,30.000,86.5912
111820560,"Wolf, Josh",A,2022,CLE,9,5,19.2,7.32,0.3966145833,5.348,0.357143,0.22807,0.54386,0.175439,0.076923,0.1875,0.208333,19.300,28.800,32.000,92.15737
111807340,"Kremer, Dean",AAA,2021,BAL,17,13,62.1,4.91,0.3303754647,4.185,0.311377,0.235955,0.47191,0.219101,0.18,0.074074,0.255556,21.600,24.700,28.700,92.64824150000001
111818920,"Woods, William",AAA,2022,ATL,12,0,10.0,5.4,0.3289795455,5.177,0.28,0.148148,0.37037,0.407407,0.153846,0.113636,0.272727,7.400,25.500,23.800,89.2438518838286
111815902,"Kasowski, Marshall",AAA,2021,LA,7,0,7.0,5.14,0.3857485714,3.879,0.45,0.3,0.3,0.25,0.0,0.194444,0.25,25.000,25.400,25.600,88.69366570000001
111807649,"Jimenez, Melvin",AA,2022,LA,8,0,7.2,10.57,0.42256,7.886,0.333333,0.304348,0.347826,0.304348,0.25,0.175,0.225,18.500,19.700,25.300,89.12817000000001
111820009,"Meador, Jacob",Rk,2022,LA,2,1,2.0,4.5,0.3739666667,0.391,0.571429,0.285714,0.571429,0.142857,0.0,0.083333,0.333333,0.000,28.600,36.800,87.66655810000002
111808368,"Scherff, Alex",A+,2021,BOS,17,0,22.2,2.78,0.2792777778,2.782,0.333333,0.2,0.44,0.28,0.058824,0.111111,0.373737,10.200,43.400,32.800,86.292162
111825407,"Hejka, Josh",AA,2021,NYM,6,0,9.2,3.72,0.2390282051,3.827,0.178571,0.035714,0.535714,0.428571,0.0,0.025641,0.153846,10.700,6.700,21.400,91.9452448
46988,"Romo, Sergio",MLB,2022,TOR,6,0,3.2,4.91,0.2195384615,5.763,0.0,0.333333,0.111111,0.444444,0.2,0.142857,0.214286,11.100,29.200,21.200,85.70340587659844
111845303,"Harper, Landon",Rk,2022,ATL,1,0,1.0,0.0,0.0,2.778,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.000,0.000,0.000,88.03151199999999
109502081,"Weber, Ryan",MLB,2021,BOS,1,0,5.2,17.47,0.5976833333,10.966,0.529412,0.142857,0.52381,0.333333,0.571429,0.066667,0.233333,46.200,27.400,25.400,97.65504046227956
